valid_time,model_level,latitude,longitude,expver,t
1/1/2013,1,80,0,1,216.36632
1/1/2013,1,80,310,1,216.64024
1/1/2013,1,80,311,1,216.91515
1/1/2013,1,80,312,1,217.18565
1/1/2013,1,80,313,1,217.4464
1/1/2013,1,80,314,1,217.69493
1/1/2013,1,80,315,1,217.92833
1/1/2013,1,80,316,1,218.14757
1/1/2013,1,80,317,1,218.35265
1/1/2013,1,80,318,1,218.54503
1/1/2013,1,80,319,1,218.72765
1/1/2013,1,80,320,1,218.90196
1/1/2013,1,80,321,1,219.06847
1/1/2013,1,80,322,1,219.22813
1/1/2013,1,80,323,1,219.3795
1/1/2013,1,80,324,1,219.52159
1/1/2013,1,80,325,1,219.65343
1/1/2013,1,80,326,1,219.77403
1/1/2013,1,80,327,1,219.88438
1/1/2013,1,80,328,1,219.98595
1/1/2013,1,80,329,1,220.08165
1/1/2013,1,80,330,1,220.17589
1/1/2013,1,80,331,1,220.27208
1/1/2013,1,80,332,1,220.37364
1/1/2013,1,80,333,1,220.48302
1/1/2013,1,80,334,1,220.6007
1/1/2013,1,80,335,1,220.72472
1/1/2013,1,80,336,1,220.85265
1/1/2013,1,80,337,1,220.98155
1/1/2013,1,80,338,1,221.10802
1/1/2013,1,80,339,1,221.23058
1/1/2013,1,80,340,1,221.34727
1/1/2013,1,80,341,1,221.45909
1/1/2013,1,80,342,1,221.56798
1/1/2013,1,80,343,1,221.67589
1/1/2013,1,80,344,1,221.7838
1/1/2013,1,80,345,1,221.89317
1/1/2013,1,80,346,1,222.00304
1/1/2013,1,80,347,1,222.11095
1/1/2013,1,80,348,1,222.21251
1/1/2013,1,80,349,1,222.30333
1/1/2013,1,80,350,1,222.37901
1/1/2013,1,80,351,1,222.43565
1/1/2013,1,80,352,1,222.47081
1/1/2013,1,80,353,1,222.4835
1/1/2013,1,80,354,1,222.47472
1/1/2013,1,80,355,1,222.44835
1/1/2013,1,80,356,1,222.40782
1/1/2013,1,80,357,1,222.3585
1/1/2013,1,80,358,1,222.3048
1/1/2013,1,80,359,1,222.25206
1/1/2013,1,79,0,1,215.12071
1/1/2013,1,79,310,1,215.4337
1/1/2013,1,79,311,1,215.75157
1/1/2013,1,79,312,1,216.06651
1/1/2013,1,79,313,1,216.37315
1/1/2013,1,79,314,1,216.66563
1/1/2013,1,79,315,1,216.94005
1/1/2013,1,79,316,1,217.19542
1/1/2013,1,79,317,1,217.43175
1/1/2013,1,79,318,1,217.65147
1/1/2013,1,79,319,1,217.8585
1/1/2013,1,79,320,1,218.05626
1/1/2013,1,79,321,1,218.24864
1/1/2013,1,79,322,1,218.43712
1/1/2013,1,79,323,1,218.62267
1/1/2013,1,79,324,1,218.80284
1/1/2013,1,79,325,1,218.9752
1/1/2013,1,79,326,1,219.13731
1/1/2013,1,79,327,1,219.28673
1/1/2013,1,79,328,1,219.42345
1/1/2013,1,79,329,1,219.54893
1/1/2013,1,79,330,1,219.66759
1/1/2013,1,79,331,1,219.78331
1/1/2013,1,79,332,1,219.90196
1/1/2013,1,79,333,1,220.02647
1/1/2013,1,79,334,1,220.15782
1/1/2013,1,79,335,1,220.29552
1/1/2013,1,79,336,1,220.43712
1/1/2013,1,79,337,1,220.57774
1/1/2013,1,79,338,1,220.71446
1/1/2013,1,79,339,1,220.84435
1/1/2013,1,79,340,1,220.96642
1/1/2013,1,79,341,1,221.08263
1/1/2013,1,79,342,1,221.19493
1/1/2013,1,79,343,1,221.30724
1/1/2013,1,79,344,1,221.42052
1/1/2013,1,79,345,1,221.53673
1/1/2013,1,79,346,1,221.65489
1/1/2013,1,79,347,1,221.77208
1/1/2013,1,79,348,1,221.8839
1/1/2013,1,79,349,1,221.98643
1/1/2013,1,79,350,1,222.0753
1/1/2013,1,79,351,1,222.14757
1/1/2013,1,79,352,1,222.20226
1/1/2013,1,79,353,1,222.23936
1/1/2013,1,79,354,1,222.25987
1/1/2013,1,79,355,1,222.26573
1/1/2013,1,79,356,1,222.25987
1/1/2013,1,79,357,1,222.24474
1/1/2013,1,79,358,1,222.22374
1/1/2013,1,79,359,1,222.19933
1/1/2013,1,78,0,1,213.68175
1/1/2013,1,78,310,1,214.0172
1/1/2013,1,78,311,1,214.36143
1/1/2013,1,78,312,1,214.70909
1/1/2013,1,78,313,1,215.05382
1/1/2013,1,78,314,1,215.38976
1/1/2013,1,78,315,1,215.71007
1/1/2013,1,78,316,1,216.01134
1/1/2013,1,78,317,1,216.28966
1/1/2013,1,78,318,1,216.5465
1/1/2013,1,78,319,1,216.78282
1/1/2013,1,78,320,1,217.0045
1/1/2013,1,78,321,1,217.21642
1/1/2013,1,78,322,1,217.42442
1/1/2013,1,78,323,1,217.63097
1/1/2013,1,78,324,1,217.83751
1/1/2013,1,78,325,1,218.04161
1/1/2013,1,78,326,1,218.24083
1/1/2013,1,78,327,1,218.4298
1/1/2013,1,78,328,1,218.60655
1/1/2013,1,78,329,1,218.77013
1/1/2013,1,78,330,1,218.92198
1/1/2013,1,78,331,1,219.06602
1/1/2013,1,78,332,1,219.20714
1/1/2013,1,78,333,1,219.34874
1/1/2013,1,78,334,1,219.49376
1/1/2013,1,78,335,1,219.64171
1/1/2013,1,78,336,1,219.79161
1/1/2013,1,78,337,1,219.94005
1/1/2013,1,78,338,1,220.08556
1/1/2013,1,78,339,1,220.2257
1/1/2013,1,78,340,1,220.36192
1/1/2013,1,78,341,1,220.49522
1/1/2013,1,78,342,1,220.62804
1/1/2013,1,78,343,1,220.76231
1/1/2013,1,78,344,1,220.89806
1/1/2013,1,78,345,1,221.03477
1/1/2013,1,78,346,1,221.16856
1/1/2013,1,78,347,1,221.2965
1/1/2013,1,78,348,1,221.41368
1/1/2013,1,78,349,1,221.51817
1/1/2013,1,78,350,1,221.60753
1/1/2013,1,78,351,1,221.68321
1/1/2013,1,78,352,1,221.74571
1/1/2013,1,78,353,1,221.79893
1/1/2013,1,78,354,1,221.84435
1/1/2013,1,78,355,1,221.88438
1/1/2013,1,78,356,1,221.92003
1/1/2013,1,78,357,1,221.95274
1/1/2013,1,78,358,1,221.98155
1/1/2013,1,78,359,1,222.0084
1/1/2013,1,77,0,1,212.17393
1/1/2013,1,77,310,1,212.50108
1/1/2013,1,77,311,1,212.84142
1/1/2013,1,77,312,1,213.192
1/1/2013,1,77,313,1,213.54893
1/1/2013,1,77,314,1,213.90733
1/1/2013,1,77,315,1,214.26183
1/1/2013,1,77,316,1,214.60558
1/1/2013,1,77,317,1,214.93224
1/1/2013,1,77,318,1,215.23888
1/1/2013,1,77,319,1,215.52257
1/1/2013,1,77,320,1,215.78673
1/1/2013,1,77,321,1,216.03429
1/1/2013,1,77,322,1,216.27208
1/1/2013,1,77,323,1,216.50499
1/1/2013,1,77,324,1,216.73595
1/1/2013,1,77,325,1,216.96593
1/1/2013,1,77,326,1,217.19249
1/1/2013,1,77,327,1,217.41124
1/1/2013,1,77,328,1,217.61876
1/1/2013,1,77,329,1,217.8131
1/1/2013,1,77,330,1,217.99425
1/1/2013,1,77,331,1,218.16515
1/1/2013,1,77,332,1,218.3297
1/1/2013,1,77,333,1,218.49327
1/1/2013,1,77,334,1,218.65929
1/1/2013,1,77,335,1,218.82921
1/1/2013,1,77,336,1,219.00401
1/1/2013,1,77,337,1,219.18321
1/1/2013,1,77,338,1,219.36632
1/1/2013,1,77,339,1,219.55138
1/1/2013,1,77,340,1,219.73839
1/1/2013,1,77,341,1,219.92735
1/1/2013,1,77,342,1,220.11534
1/1/2013,1,77,343,1,220.3004
1/1/2013,1,77,344,1,220.47911
1/1/2013,1,77,345,1,220.64659
1/1/2013,1,77,346,1,220.79942
